"ASIANPAINT","BAJAJ-AUTO","BAJAJFINSV","ADANIPORTS","AXISBANK","BAJFINANCE","BHARTIARTL","BPCL","BRITANNIA","CIPLA","COALINDIA","DRREDDY","EICHERMOT","GAIL","GRASIM","HCLTECH","HDFC","HDFCBANK","HEROMOTOCO","HINDALCO","HINDUNILVR","ICICIBANK","INDUSINDBK","INFY","IOC","ITC","JSWSTEEL","KOTAKBANK","LT","M&M","MARUTI","NESTLEIND","NTPC","ONGC","POWERGRID","RELIANCE","SBIN","SHREECEM","SUNPHARMA","TATAMOTORS","TATASTEEL","TCS","TECHM","TITAN","ULTRACEMCO","UPL","VEDL","WIPRO","ZEEL"
1747.25,2817.25,6046.05,351.85,424.65,2934.45,557.35,378.55,3446.4,631.2,141.55,4042.65,18436.85,101.4,613.65,559.6,1797.75,1032.5,2493.8,151.4,2130.3,348.1,481.7,714.15,87.1,191.85,193.9,1343.9,955.55,515.35,5755.35,16707.95,97.05,83.1,178.5,1727.85,184.6,22566.25,484.4,104.8,326.05,2042.2,560.95,988.2,3821.6,444.95,109.45,218.2,174.1
1689,2820.45,6021.15,344,421.7,3005.35,559,370.25,3450.4,634.9,140.4,4006.6,18090.7,103.1,607.45,550.05,1777.8,1028.75,2559.7,146.6,2173.15,351,475.15,700.5,85.05,202.1,193.55,1381.7,943.1,507.25,5762.3,16787,96.1,81.6,179.35,1717.9,185.25,22068.8,487.65,103.8,323.1,2016.1,554.15,977.6,3802.35,442.9,111.25,218.2,172.35
1686.75,2867.6,5946.3,343.2,424.85,2903.5,560.4,393.65,3456.4,634.9,142.1,3998.6,18473.4,105.15,616.15,562.4,1769.35,1056.45,2540.45,151.05,2154.2,349.1,492.55,748.2,89.15,195.2,192.65,1340.1,962.2,501.4,5754.9,16677.5,97,84.15,179.2,1741.65,184.6,22523.85,479.95,101.4,323.85,2118.85,560.85,966.2,3860.6,440.25,109.95,225.45,176.25
1691.95,2859.5,5890.2,342.65,404.8,2857.95,567.1,383.35,3519.25,644.9,134.85,3973.85,18113.5,103.6,619.25,553.7,1741.15,1076.05,2504.05,145.85,2182.95,343.1,480,731.75,87.1,197.25,190.7,1355.65,936.6,507.45,5678.7,16724.85,94.9,82.4,178.25,1723.15,179.25,22341.95,482,99.45,320.85,2101.65,541.55,957.45,3807,431.9,107.95,219.7,172.05
1687.45,2826.05,5845.15,343.9,406.65,2831,559.85,374,3603.8,640.25,132.85,3944.95,18334.3,102.15,619.7,556.85,1754.65,1065.85,2546.95,146.2,2180,351.45,474.8,735.95,85.35,194.65,189.35,1360.45,943.65,510.7,5838.3,17174.45,95.8,81.35,174.85,1704.1,178.45,23051.05,472.95,98.25,326.7,2082.15,543.4,949.85,3893.55,425.2,106.4,219.65,171.1
1688,2842.05,6169.35,343.8,433.25,2953.9,560.15,380.15,3545.95,627.1,133.85,3911.45,18401.95,102.95,614.35,551.75,1835.15,1084.6,2547.45,147.55,2170.4,364.05,492.45,731.9,85.65,202.9,191.45,1356.75,924.3,498.95,5803.1,16798.85,93.6,80.45,173.45,1737.6,184.8,22663.5,468.15,100.75,323.7,2092.05,545.9,948.2,3898.6,446.95,107.7,219.05,175.4
1686.45,2879.35,6188.8,346.8,423.2,2964.25,558.45,383.5,3535.1,646.2,133.6,3920.55,18353.6,103.5,617.95,569.2,1889.45,1089.4,2671.4,147.75,2151.75,362.85,494.8,756.6,88.35,205.85,194.45,1352,941.3,529.7,5948.45,16789.35,93.4,81.85,175.1,1760.35,185.45,22762.85,473,101.55,334.9,2157.15,560.85,986.4,3914.95,442.45,106.4,224.2,174.4
1695.65,2932.4,6149.4,360.4,428.45,2931.5,581.45,385.4,3538.35,638.8,135.25,3921.45,18983.5,104.9,628.15,579.15,1885.2,1073.95,2738.25,146.4,2173.7,361,487.2,762.7,87.85,207.55,190.95,1353.8,944.25,530.5,5932.1,16695.6,94.5,82.4,177.6,1787.9,184.7,22872.65,476.85,103.45,329.9,2199.65,567.2,1003.5,3889.6,444.2,106.45,224.8,172.25
1708.85,2897.1,6285,359.45,434,3108.8,576.6,390.2,3624.45,634.6,135.85,3892,19250.95,103.7,641.15,578.7,1868.7,1103,2770.95,154.35,2161.6,361.85,495.9,764,87.95,199.8,193.75,1367.9,951.2,570.55,6123.6,16802,95.2,83.75,178,1851.8,188.05,23111.15,480.2,109,338.9,2263.2,581.55,1014.2,3930.9,456.6,110.25,222.65,175.05
1745.75,2847.15,6589.6,345.95,447.35,3351.95,567.15,379.85,3678.45,636.55,132.85,3823.5,19930.65,102.85,623.65,592.05,1886.75,1105.15,2749.3,152.3,2154.15,376.05,526.3,794.15,86.15,194.25,190.85,1368.25,943.6,560,6226.75,16912.4,92.55,81.95,173.1,1823.45,188.6,22824.1,479.25,109.05,330.3,2269.9,586.85,1016.25,3862,450.95,107.6,224.9,180.3
